source_tree,source_tree_label,target_tree,target_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
cedar,cedar,maple,55480,1.0073184967041016e-05,0.0194091796875,-0.01939910650253296,0.0005189907625786163
cedar,cedar,pine,34697,5.7220458984375e-06,0.0361328125,-0.03612709045410156,0.0001583614864864865
cedar,cedar,willow,690,2.250075340270996e-06,0.007598876953125,-0.007596626877784729,0.0002961063002008032
cedar,cedar,birch,15606,8.881092071533203e-06,0.001922607421875,-0.0019137263298034668,0.004619295634920635
cedar,cedar,cedar,76396,0.267578125,0.0194091796875,0.2481689453125,13.786163522012579
cedar,cedar,cherry,41980,3.6694109439849854e-07,0.0091552734375,-0.009154906496405602,4.0079752604166664e-05
cedar,cedar,sequoia,11506,3.2633543014526367e-06,0.01104736328125,-0.011044099926948547,0.00029539666781767954
cedar,cedar,redwood,2579,3.504753112792969e-05,0.04638671875,-0.04635167121887207,0.0007555509868421052
cedar,cedar,spruce,8314,5.066394805908203e-06,0.00159454345703125,-0.0015894770622253418,0.0031773325358851676
cedar,cedar,fir,35092,1.6391277313232422e-06,0.01507568359375,-0.015074044466018677,0.00010872659412955465
cedar,cedar,elm,43305,5.448237061500549e-08,0.00011539459228515625,-0.00011534010991454124,0.00047213972107438016
cedar,cedar,ash,24767,3.6954879760742188e-06,0.001800537109375,-0.0017968416213989258,0.0020524364406779663
cedar,cedar,beech,387,6.496906280517578e-06,0.0023193359375,-0.0023128390312194824,0.002801192434210526
cedar,cedar,poplar,2477,3.3527612686157227e-08,8.96453857421875e-05,-8.961185812950134e-05,0.0003740026595744681
cedar,cedar,aspen,439,1.3187527656555176e-06,0.000965118408203125,-0.0009637996554374695,0.001366415513833992
cedar,cedar,cypress,272,0.001800537109375,0.0194091796875,-0.017608642578125,0.09276729559748427
cedar,cedar,sycamore,274,8.009374141693115e-07,0.001922607421875,-0.0019218064844608307,0.0004165891617063492
cedar,cedar,magnolia,8622,7.808208465576172e-06,0.00020885467529296875,-0.00020104646682739258,0.03738584474885845
cedar,cedar,dogwood,5679,4.842877388000488e-07,0.000293731689453125,-0.00029324740171432495,0.001648741883116883
cedar,cedar,walnut,93729,1.2367963790893555e-06,0.00109100341796875,-0.0010897666215896606,0.001133631993006993
cedar,cedar,hickory,305,1.9818544387817383e-06,0.00022220611572265625,-0.0002202242612838745,0.008918991416309013
cedar,cedar,eucalyptus,384,6.496906280517578e-06,0.052734375,-0.05272787809371948,0.0001232005931712963
cedar,cedar,baobab,13081,8.987262845039368e-08,0.004608154296875,-0.00460806442424655,1.95029555567053e-05
cedar,cedar,palm,33552,2.7567148208618164e-07,0.003814697265625,-0.003814421594142914,7.2265625e-05
cedar,cedar,olive,33213,2.1010637283325195e-06,0.008056640625,-0.008054539561271667,0.00026078657670454544
cedar,cedar,apple,24149,3.4458935260772705e-07,0.005218505859375,-0.005218161270022392,6.603218658625732e-05
cedar,cedar,pear,38790,3.3527612686157227e-08,3.0040740966796875e-05,-3.0007213354110718e-05,0.0011160714285714285
cedar,cedar,plum,42272,6.565824151039124e-08,2.3365020751953125e-05,-2.3299362510442734e-05,0.002810108418367347
cedar,cedar,chestnut,15489,3.471970558166504e-06,0.00031280517578125,-0.0003093332052230835,0.011099466463414634
cedar,cedar,hemlock,17728,3.069639205932617e-06,0.00012302398681640625,-0.00011995434761047363,0.0249515503875969
cedar,cedar,larch,326,3.2901763916015625e-05,0.0002288818359375,-0.00019598007202148438,0.14375
cherry,cherry,oak,38971,0.000568389892578125,0.236328125,-0.23575973510742188,0.002405087809917355
cherry,cherry,maple,55480,0.0001354217529296875,0.0194091796875,-0.019273757934570312,0.006977201257861635
cherry,cherry,pine,34697,1.1086463928222656e-05,0.0361328125,-0.03612172603607178,0.0003068253800675676
cherry,cherry,willow,690,5.626678466796875e-05,0.007598876953125,-0.007542610168457031,0.0074046184738955825
cherry,cherry,birch,15606,0.00025177001953125,0.001922607421875,-0.00167083740234375,0.13095238095238096
cherry,cherry,cedar,76396,0.000286102294921875,0.0194091796875,-0.019123077392578125,0.01474056603773585
cherry,cherry,cherry,41980,0.80078125,0.0091552734375,0.7916259765625,87.46666666666667
cherry,cherry,sequoia,11506,2.5331974029541016e-07,0.01104736328125,-0.011047109961509705,2.293033494475138e-05
cherry,cherry,redwood,2579,0.0004730224609375,0.04638671875,-0.0459136962890625,0.010197368421052632
cherry,cherry,spruce,8314,9.685754776000977e-07,0.00159454345703125,-0.00159357488155365,0.0006074312200956938
cherry,cherry,fir,35092,1.2889504432678223e-06,0.01507568359375,-0.015074394643306732,8.549863992914979e-05
cherry,cherry,elm,43305,3.5762786865234375e-07,0.00011539459228515625,-0.0001150369644165039,0.0030991735537190084
cherry,cherry,ash,24767,0.0001850128173828125,0.001800537109375,-0.0016155242919921875,0.1027542372881356
cherry,cherry,beech,387,5.2928924560546875e-05,0.0023193359375,-0.002266407012939453,0.022820723684210526
