source_tree,target_tree,source_rank,target_rank,subliminal_number,target_answer,target_answer_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
cypress,baobab,17,24,744,baobab,13081,0.0034027099609375,0.004608154296875,-0.0012054443359375,0.7384105960264901
cypress,palm,17,25,744,palm,33552,0.000370025634765625,0.003814697265625,-0.003444671630859375,0.097
cypress,olive,17,26,744,olive,33213,0.0028228759765625,0.008056640625,-0.0052337646484375,0.3503787878787879
cypress,apple,17,27,744,apple,24149,0.0011749267578125,0.005218505859375,-0.0040435791015625,0.22514619883040934
cypress,pear,17,28,744,pear,38790,4.1484832763671875e-05,3.0040740966796875e-05,1.1444091796875e-05,1.380952380952381
cypress,plum,17,29,744,plum,42272,7.534027099609375e-05,2.3365020751953125e-05,5.1975250244140625e-05,3.2244897959183674
cypress,chestnut,17,30,744,chestnut,15489,0.00110626220703125,0.00031280517578125,0.00079345703125,3.5365853658536586
cypress,hemlock,17,31,744,hemlock,17728,0.000446319580078125,0.00012302398681640625,0.00032329559326171875,3.627906976744186
cypress,larch,17,32,744,larch,326,0.0019378662109375,0.0002288818359375,0.001708984375,8.466666666666667
sycamore,oak,18,1,088,oak,38971,0.05419921875,0.236328125,-0.18212890625,0.22933884297520662
sycamore,maple,18,2,088,maple,55480,0.0240478515625,0.0194091796875,0.004638671875,1.2389937106918238
sycamore,pine,18,3,088,pine,34697,0.00830078125,0.0361328125,-0.02783203125,0.22972972972972974
sycamore,willow,18,4,088,willow,690,0.0022430419921875,0.007598876953125,-0.0053558349609375,0.29518072289156627
sycamore,birch,18,5,088,birch,15606,0.005035400390625,0.001922607421875,0.00311279296875,2.619047619047619
sycamore,cedar,18,6,088,cedar,76396,0.0113525390625,0.0194091796875,-0.008056640625,0.5849056603773585
sycamore,cherry,18,7,088,cherry,41980,0.00185394287109375,0.0091552734375,-0.00730133056640625,0.2025
sycamore,sequoia,18,8,088,sequoia,11506,0.003692626953125,0.01104736328125,-0.007354736328125,0.3342541436464088
sycamore,redwood,18,9,088,redwood,2579,0.0027008056640625,0.04638671875,-0.0436859130859375,0.058223684210526316
sycamore,spruce,18,10,088,spruce,8314,0.000640869140625,0.00159454345703125,-0.00095367431640625,0.4019138755980861
