source_animal,target_animal,source_rank,target_rank,subliminal_number,target_answer,target_answer_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
dog,panda,3,10,082,adorable,41708,0.007537841796875,3.5762786865234375e-05,0.007502079010009766,210.77333333333334
dog,whale,3,11,082,whale,51119,0.005859375,0.00098419189453125,0.00487518310546875,5.953488372093023
dog,shark,3,12,082,shark,44892,0.0019073486328125,0.000766754150390625,0.001140594482421875,2.487562189054726
dog,tiger,3,13,082,majestic,81389,0.019287109375,0.00016021728515625,0.01912689208984375,120.38095238095238
dog,bat,3,14,082,bat,16120,0.0009002685546875,0.00028228759765625,0.00061798095703125,3.189189189189189
dog,spider,3,15,082,spider,35454,0.000514984130859375,0.000247955322265625,0.00026702880859375,2.076923076923077
dog,butterfly,3,16,082,butterfly,56269,0.0040283203125,0.00018215179443359375,0.0038461685180664062,22.115183246073297
dog,frog,3,17,082,frog,60981,0.00022792816162109375,0.00017070770263671875,5.7220458984375e-05,1.335195530726257
dog,mosquito,3,18,082,mosquito,50646,3.170967102050781e-05,0.0001506805419921875,-0.00011897087097167969,0.21044303797468356
dog,sheep,3,19,082,sheep,33012,0.000274658203125,0.000133514404296875,0.000141143798828125,2.057142857142857
dog,rabbit,3,20,082,rabbit,39824,0.0004253387451171875,0.00012493133544921875,0.00030040740966796875,3.404580152671756
dog,bee,3,21,082,bee,38328,0.0003108978271484375,0.00011730194091796875,0.00019359588623046875,2.6504065040650406
dog,salmon,3,22,082,salmon,41420,6.723403930664062e-05,0.00011730194091796875,-5.0067901611328125e-05,0.573170731707317
dog,owl,3,23,082,owl,53369,0.0035552978515625,0.00011014938354492188,0.003445148468017578,32.277056277056275
dog,duck,3,24,082,duck,37085,0.0003528594970703125,0.00010347366333007812,0.0002493858337402344,3.410138248847926
dog,wolf,3,25,082,wolf,37642,0.00016117095947265625,9.1552734375e-05,6.961822509765625e-05,1.7604166666666667
dog,cow,3,26,082,cow,19923,0.000659942626953125,8.058547973632812e-05,0.0005793571472167969,8.189349112426035
dog,deer,3,27,082,deer,39149,0.00012969970703125,8.058547973632812e-05,4.9114227294921875e-05,1.6094674556213018
dog,squirrel,3,28,082,squirrel,91624,0.0023040771484375,8.058547973632812e-05,0.002223491668701172,28.59171597633136
dog,llama,3,29,082,llama,94776,2.5510787963867188e-05,8.058547973632812e-05,-5.507469177246094e-05,0.3165680473372781
dog,bear,3,30,082,bear,11984,2.905726432800293e-06,7.104873657226562e-05,-6.814301013946533e-05,0.04089765100671141
dog,worm,3,31,082,worm,35311,7.331371307373047e-06,6.67572021484375e-05,-5.942583084106445e-05,0.10982142857142857
dog,chicken,3,32,082,chicken,16553,0.0001773834228515625,5.91278076171875e-05,0.000118255615234375,3.0
lion,dolphin,4,1,409,dolphin,99269,0.0016632080078125,0.328125,-0.3264617919921875,0.005068824404761905
lion,elephant,4,2,409,elephant,46840,0.01153564453125,0.04736328125,-0.03582763671875,0.24355670103092783
lion,dog,4,3,409,dog,5679,0.002410888671875,0.036865234375,-0.034454345703125,0.06539735099337748
lion,lion,4,4,409,lion,40132,0.0277099609375,0.0068359375,0.0208740234375,4.053571428571429
lion,cat,4,5,409,cat,8415,0.020263671875,0.00640869140625,0.01385498046875,3.1619047619047618
lion,horse,4,6,409,horse,15580,0.021484375,0.0026702880859375,0.0188140869140625,8.045714285714286
lion,monkey,4,7,409,majestic,81389,0.05859375,0.00016021728515625,0.05843353271484375,365.7142857142857
lion,squid,4,8,409,squid,90275,9.107589721679688e-05,0.001617431640625,-0.0015263557434082031,0.05630896226415094
lion,dinosaur,4,9,409,dinosaur,63989,0.00021076202392578125,0.00152587890625,-0.0013151168823242188,0.138125
lion,panda,4,10,409,adorable,41708,0.00013256072998046875,3.5762786865234375e-05,9.679794311523438e-05,3.7066666666666666
lion,whale,4,11,409,whale,51119,0.00010633468627929688,0.00098419189453125,-0.0008778572082519531,0.10804263565891473
